transaction_date,branch_name,region,branch_size,product_category,total_revenue_sar,number_of_transactions,average_basket_sar,payment_method,customer_satisfaction_score
25-08-2024,Al Olaya,Riyadh,Large,Fresh Produce,13921.84,136,102.37,Apple Pay,3.8
06-07-2025,Riyadh East,Riyadh,Large,Fresh Produce,12628.68,139,90.85,Apple Pay,3.7
27-07-2024,Abha Central,Asir,Small,Baby Products,3147.26,50,62.95,Mada,3.9
03-01-2026,Hittin,Riyadh,XLarge,Snacks & Confectionery,23945.59,285,84.02,Mada,4.3
29-03-2024,Al Anbariyah,Madinah,Large,Baby Products,26284.29,273,96.28,Cash,3.7
14-01-2026,Madinah Central,Madinah,Small,Fresh Produce,1622.91,50,32.46,Mada,3.7
19-11-2025,Al Jawf Central,Al Jawf,Small,Toys,2952.86,50,59.06,STC Pay,2.8
21-11-2024,Buraidah Central,Qassim,Medium,Household,5359.09,60,89.32,Visa,4.2
08-09-2024,Riyadh Central,Riyadh,Large,Meat & Poultry,13238.88,141,93.89,Mastercard,3.8
21-01-2026,Jeddah East,Makkah,Large,Fresh Produce,9185.77,,85.85,Cash,4.0
27-05-2026,Buraidah Central,Qassim,Medium,Bakery,4416.18,57,,Mada,3.3
04-03-2025,Riyadh East,Riyadh,Large,Personal Care,16755.97,,,Mada,3.4
10-05-2025,Hafuf,Eastern Province,Medium,Baby Products,8417.11,92,,Apple Pay,4.2
26-03-2026,Al Bahah Central,Al Bahah,Small,Personal Care,2770.89,50,55.42,Mada,3.2
25-04-2024,Madinah Central,Madinah,Small,Cleaning Supplies,3034.2,50,60.68,Mada,3.3
28-04-2024,Al Wajh,Tabuk,,Baby Products,8003.27,81,98.81,Mada,3.9
22-12-2025,Bisha,Asir,Medium,Cleaning Supplies,3753.23,54,69.5,Apple Pay,3.3
24-10-2024,Riyadh North,Riyadh,Large,Bakery,7832.25,119,65.82,Mada,
24-09-2024,Jubail,Eastern Province,,Meat & Poultry,12662.58,129,98.16,Mada,3.8
15-01-2026,Al Bahah Central,Al Bahah,Small,Clothing,2409.04,50,48.18,Mada,3.7
09-08-2025,Madinah Central,Madinah,Small,Household,4212.04,50,84.24,Cash,4.1
11-09-2025,Makkah City,Makkah,Large,Baby Products,12182.97,93,131.0,Mada,3.7
27-12-2024,Qatif,Eastern Province,XLarge,Household,30993.13,329,94.2,Visa,3.8
08-05-2026,Jeddah South,Makkah,Large,Snacks & Confectionery,,118,92.53,Apple Pay,4.0
05-12-2024,Abha Central,Asir,Small,Household,2847.4,50,56.95,Cash,4.0
14-04-2024,Buraidah Central,Qassim,Medium,Snacks & Confectionery,7570.59,75,100.94,Mada,3.2
23-08-2024,Riyadh North,Riyadh,Large,Toys,13287.38,113,117.59,Mastercard,4.0
14-05-2024,Bisha,Asir,Medium,Cleaning Supplies,4695.22,68,69.05,Cash,3.4
09-01-2026,Al Jawf Central,Al Jawf,Small,Frozen Foods,2914.76,50,58.3,Mastercard,2.7
23-01-2026,Al Olaya,Riyadh,Large,Meat & Poultry,15051.03,154,97.73,Apple Pay,
11-03-2025,Jubail,Eastern Province,Large,Electronics,20966.4,146,143.61,Mada,3.7
20-01-2025,Najran Central,Najran,Medium,Fresh Produce,3968.85,52,76.32,Visa,4.4
18-10-2024,Najran Central,Najran,Medium,Household,9050.57,81,111.74,Cash,3.4
20-02-2026,Abha Central,Asir,Small,Fresh Produce,2609.74,50,52.19,Tabby,3.6
28-02-2026,Bisha,Asir,Medium,Meat & Poultry,7037.98,65,108.28,,3.4
07-04-2024,Al Malaz,Riyadh,Large,Bakery,20144.33,316,63.75,Visa,4.4
24-05-2024,Al Malaz,Riyadh,Large,Snacks & Confectionery,10156.4,125,81.25,Apple Pay,3.8
15-09-2024,Al Bahah Central,Al Bahah,Small,Frozen Foods,2864.47,50,57.29,Cash,3.5
06-01-2024,Tabuk Central,Tabuk,Medium,Bakery,5179.58,70,,Mada,2.8
25-11-2024,Madinah North,Madinah,,Beverages,9306.9,111,83.85,Mastercard,3.8
17-04-2024,Al Malaz,Riyadh,Large,Electronics,16120.15,105,153.53,Cash,3.6
24-03-2025,Al Aziziyah,Makkah,Large,Fresh Produce,16691.37,214,78.0,Mada,3.8
13-05-2025,Buraidah Central,Qassim,Medium,Cleaning Supplies,3235.33,50,64.71,Cash,4.8
19-06-2025,Dammam Central,Eastern Province,Large,Cleaning Supplies,7214.95,94,76.75,Mada,4.7
19-06-2025,Al Khobar,Eastern Province,Large,Snacks & Confectionery,9216.36,132,69.82,Mada,3.4
04-12-2024,Al Rawdah,Makkah,Large,Frozen Foods,13387.63,173,77.39,Cash,3.5
02-01-2026,Buraidah Central,Qassim,Medium,Electronics,10278.42,76,135.24,Mada,4.8
19-12-2025,Dhahran,Eastern Province,,Toys,21439.31,229,93.62,Mada,4.4
01-10-2025,Riyadh South,Riyadh,Large,Fresh Produce,9999.71,104,96.15,Visa,3.9
08-10-2024,Al Aziziyah,Makkah,Large,Cleaning Supplies,7620.56,94,81.07,Mastercard,4.4
01-10-2025,Abha Central,Asir,Small,Baby Products,3100.7,50,62.01,Visa,3.8
18-01-2026,Al Olaya,Riyadh,Large,Fresh Produce,10835.88,123,88.1,Cash,4.3
24-08-2025,Buraidah Central,Qassim,Medium,Meat & Poultry,8657.75,81,106.89,Apple Pay,3.0
02-08-2024,Najran Central,Najran,Medium,Frozen Foods,4859.62,66,73.63,Cash,3.2
26-05-2024,Jeddah North,Makkah,XLarge,,15573.04,185,84.18,STC Pay,4.5
11-03-2025,Hail Central,Hail,Small,Dairy,3188.83,50,,Cash,3.8
21-01-2025,Bisha,Asir,Medium,Toys,5602.23,55,101.86,Apple Pay,3.7
19-06-2024,Al Rawdah,Makkah,Large,Snacks & Confectionery,,130,75.7,Apple Pay,3.9
16-05-2025,Hail Central,Hail,Small,Bakery,2474.09,50,49.48,STC Pay,3.5
25-05-2026,Abha Central,Asir,Small,Clothing,2492.04,50,49.84,Mada,3.4
26-01-2025,Al Aziziyah,Makkah,Large,Baby Products,13904.1,158,88.0,Mada,3.6
02-12-2024,Dhahran,Eastern Province,XLarge,Meat & Poultry,17241.84,141,122.28,STC Pay,4.2
04-02-2024,Dammam Central,Eastern Province,,Clothing,16693.23,139,120.1,Tamara,3.7
08-08-2025,Riyadh South,Riyadh,Large,Snacks & Confectionery,12571.47,179,70.23,Tamara,3.5
17-05-2025,Arar Central,Northern Borders,Small,Frozen Foods,2544.84,50,50.9,Visa,3.9
23-12-2025,Jeddah North,Makkah,XLarge,Cleaning Supplies,18232.76,199,91.62,Mada,4.2
27-02-2024,Hittin,Riyadh,XLarge,Toys,14955.57,145,103.14,,3.9
06-12-2024,Riyadh North,Riyadh,Large,Snacks & Confectionery,15315.15,173,,Mastercard,4.6
12-06-2025,Abha Central,Asir,Small,Clothing,1986.94,50,39.74,Mastercard,3.8
31-05-2024,Al Jawf Central,Al Jawf,Small,Fresh Produce,3017.73,50,60.35,Mada,3.7
06-12-2025,Al Aziziyah,Makkah,Large,Fresh Produce,16757.79,204,82.15,,4.1
30-04-2024,Hafuf,Eastern Province,Medium,Household,5941.89,64,92.84,Visa,3.8
31-03-2024,Arar Central,Northern Borders,Small,Fresh Produce,3717.69,50,74.35,Mada,2.7
18-03-2026,Jeddah South,Makkah,Large,Clothing,9581.85,81,118.29,STC Pay,3.2
11-11-2024,Madinah North,Madinah,Large,Clothing,15185.46,153,99.25,Mada,3.8
23-01-2025,Riyadh South,Riyadh,Large,Fresh Produce,10786.37,102,105.75,Mada,3.6
05-05-2026,Madinah Central,Madinah,Small,,1484.19,50,29.68,Mada,
29-12-2024,Al Bahah Central,Al Bahah,,Meat & Poultry,4504.59,50,90.09,Mada,3.3
07-02-2024,Jeddah South,Makkah,Large,Personal Care,11422.22,103,110.9,Visa,4.2
31-07-2024,Al Khobar,Eastern Province,Large,Baby Products,,92,103.44,Mastercard,3.8
02-04-2024,Dammam Central,Eastern Province,Large,Bakery,13830.75,163,84.85,Mada,4.2
01-05-2025,Jeddah East,Makkah,Large,Personal Care,8271.22,82,,Mada,3.6
26-11-2024,Riyadh East,Riyadh,Large,Personal Care,12184.64,147,82.89,Cash,3.5
10-07-2024,Al Olaya,Riyadh,Large,Dairy,9677.25,119,81.32,Mada,4.0
25-03-2025,Riyadh North,Riyadh,Large,Beverages,15878.14,192,82.7,Mada,3.2
10-01-2026,Al Anbariyah,Madinah,Large,Meat & Poultry,15722.52,153,102.76,Mada,4.2
20-02-2026,Madinah Central,Madinah,Small,Cleaning Supplies,2721.39,50,54.43,Mada,3.5
16-06-2024,Riyadh North,Riyadh,Large,Cleaning Supplies,10562.16,156,67.71,Tabby,4.3
22-07-2024,Buraidah Central,Qassim,Medium,Household,5974.43,51,117.15,Mastercard,3.8
12-11-2024,Al Malaz,Riyadh,Large,Fresh Produce,12055.27,125,96.44,Mada,3.7
01-01-2024,Arar Central,Northern Borders,Small,Bakery,1796.26,50,35.93,Mada,3.9
02-04-2024,Al Wajh,Tabuk,Medium,Fresh Produce,,107,88.73,Apple Pay,4.5
03-05-2025,Riyadh Central,Riyadh,Large,Fresh Produce,11279.75,127,88.82,Mada,3.9
01-05-2026,Khamis Mushait,Asir,Small,Bakery,2195.74,50,43.91,Mada,4.0
20-02-2026,Jubail,Eastern Province,Large,Meat & Poultry,16794.32,142,118.27,Mada,3.4
30-06-2025,Bisha,Asir,Medium,Beverages,3079.89,50,61.6,Visa,3.1
15-09-2025,Madinah Central,Madinah,Small,Bakery,1441.58,50,28.83,Visa,4.1
20-03-2024,Bisha,Asir,Medium,Fresh Produce,8176.78,,103.5,Mada,
05-04-2024,Al Wajh,Tabuk,Medium,Clothing,12933.93,109,118.66,Mada,3.2
24-09-2024,Riyadh East,Riyadh,Large,Beverages,11145.54,113,98.63,Mastercard,4.3
21-04-2025,Al Olaya,Riyadh,Large,Meat & Poultry,15621.95,155,100.79,Mastercard,
22-11-2024,Jeddah South,Makkah,Large,Household,12113.74,130,93.18,Cash,4.2
08-03-2025,Bisha,Asir,Medium,Dairy,11584.89,130,89.11,Visa,3.2
29-05-2025,Hail Central,Hail,Small,Beverages,1953.72,,39.07,Visa,3.2
24-04-2024,Abha Central,Asir,Small,Baby Products,3574.43,50,71.49,Mada,3.5
25-12-2025,Qatif,Eastern Province,XLarge,Fresh Produce,21131.7,264,80.04,Mastercard,3.8
21-03-2025,Arar Central,Northern Borders,Small,Dairy,2901.13,,58.02,Mada,3.0
15-09-2024,Abha Central,Asir,,Clothing,3772.52,50,75.45,Cash,4.2
02-07-2024,Dammam Central,Eastern Province,Large,Meat & Poultry,9468.1,84,112.72,Mada,4.0
28-06-2025,Riyadh East,Riyadh,Large,Bakery,12292.64,136,90.39,Cash,3.8
10-10-2025,Jeddah North,Makkah,XLarge,Cleaning Supplies,19240.07,231,83.29,Mada,3.3
05-08-2025,Buraidah Central,Qassim,Medium,Electronics,6534.69,50,130.69,Cash,3.2
26-01-2025,Al Olaya,Riyadh,Large,Frozen Foods,12581.16,133,94.6,Visa,3.7
03-02-2026,Jeddah East,Makkah,Large,Clothing,9470.66,94,100.75,Apple Pay,4.2
29-04-2024,Al Wajh,Tabuk,Medium,Personal Care,6898.34,,80.21,Visa,3.1
18-01-2025,Riyadh South,Riyadh,Large,Bakery,11955.05,187,63.93,Mada,3.6
10-10-2024,Jeddah East,Makkah,Large,Electronics,15519.97,114,,Mada,3.8
20-01-2024,Al Rawdah,Makkah,Large,Clothing,20306.31,160,126.91,Mada,3.8
09-04-2024,Jubail,Eastern Province,Large,Electronics,20244.31,144,140.59,,3.7
25-08-2025,Arar Central,Northern Borders,Small,Personal Care,2007.66,50,40.15,Mada,4.2
17-12-2024,Riyadh Central,Riyadh,Large,Meat & Poultry,,108,112.72,Mada,3.8
20-11-2025,Jeddah South,Makkah,Large,Meat & Poultry,12935.2,125,103.48,Visa,3.5
08-10-2025,Al Malaz,Riyadh,Large,Baby Products,11779.95,93,126.67,Mastercard,3.5
07-04-2025,Jubail,Eastern Province,Large,Electronics,17341.49,140,,Mada,3.7
01-08-2025,Hafuf,Eastern Province,Medium,Baby Products,6795.63,52,130.69,Tabby,3.4
19-01-2025,Madinah North,Madinah,Large,Fresh Produce,15668.82,181,86.57,Apple Pay,3.6
09-02-2025,Al Olaya,Riyadh,Large,Baby Products,11990.62,117,102.48,Mada,4.2
17-07-2025,Bisha,Asir,Medium,Frozen Foods,4497.89,50,89.96,Visa,4.4
27-02-2026,Jubail,Eastern Province,Large,Fresh Produce,10321.37,132,78.19,Tabby,3.8
29-06-2025,Unaizah,Qassim,Small,Snacks & Confectionery,2375.61,50,47.51,Mada,3.3
09-06-2024,Hail Central,Hail,Small,,3397.01,50,67.94,Visa,3.4
30-11-2025,Jeddah East,Makkah,Large,Meat & Poultry,22039.73,212,103.96,Tabby,
12-07-2024,Tabuk Central,Tabuk,Medium,Personal Care,6633.84,59,112.44,Visa,4.3
24-01-2024,Tabuk Central,Tabuk,Medium,Bakery,3573.41,50,71.47,Mada,3.8
14-01-2025,Al Malaz,Riyadh,Large,Personal Care,7065.03,82,86.16,Mada,3.5
13-04-2025,Jeddah South,Makkah,Large,Cleaning Supplies,13008.25,,89.71,STC Pay,
26-11-2024,Al Aziziyah,Makkah,Large,Electronics,12082.11,75,161.09,Visa,3.2
04-09-2024,Hail Central,Hail,Small,Baby Products,2994.3,50,59.89,Cash,3.8
12-06-2024,Qatif,Eastern Province,XLarge,Frozen Foods,12611.93,118,106.88,Mastercard,3.8
26-04-2025,Buraidah Central,Qassim,Medium,Electronics,15468.9,115,134.51,Mada,3.4
03-05-2024,Unaizah,Qassim,Small,Personal Care,3165.34,50,,Mastercard,2.9
26-10-2024,Riyadh South,Riyadh,Large,Snacks & Confectionery,16224.28,215,75.46,Cash,
03-01-2026,Bisha,Asir,Medium,Personal Care,9211.39,94,97.99,Apple Pay,4.4
09-01-2026,Hittin,Riyadh,XLarge,Meat & Poultry,20259.69,172,117.79,STC Pay,4.5
03-08-2024,Najran Central,Najran,Medium,Meat & Poultry,7579.78,74,102.43,Mada,3.6
16-12-2024,Al Anbariyah,Madinah,Large,Beverages,8844.49,116,76.25,Mastercard,
31-08-2025,Dammam Central,Eastern Province,Large,Fresh Produce,9596.69,107,89.69,Cash,4.2
10-11-2024,Al Khobar,Eastern Province,Large,Fresh Produce,18330.36,214,85.66,Mada,3.4
20-11-2025,Hail Central,Hail,Small,Frozen Foods,2236.92,50,44.74,Cash,3.5
29-01-2024,Madinah Central,Madinah,Small,Personal Care,2491.63,50,49.83,Cash,4.0
08-01-2026,Abha Central,Asir,Small,Cleaning Supplies,1933.0,50,38.66,Mada,4.5
24-08-2025,Jeddah North,Makkah,XLarge,Dairy,23159.78,274,84.52,,3.4
25-10-2025,Al Bahah Central,Al Bahah,Small,Household,3186.6,50,63.73,STC Pay,4.6
18-08-2024,Qatif,Eastern Province,XLarge,Bakery,16389.63,199,82.36,Apple Pay,4.1
27-10-2025,Hittin,Riyadh,XLarge,Beverages,13022.83,157,82.95,Visa,4.7
21-08-2024,Buraidah Central,Qassim,Medium,Meat & Poultry,6533.23,50,130.66,Visa,3.9
03-06-2025,Qatif,Eastern Province,,Household,12465.43,126,98.93,,4.7
02-04-2025,Riyadh South,Riyadh,Large,Bakery,10032.93,120,83.61,Mastercard,3.0
21-08-2024,Madinah North,Madinah,Large,Beverages,9575.06,91,105.22,Visa,3.6
20-01-2026,Al Aziziyah,Makkah,Large,Electronics,15302.44,136,112.52,Visa,3.7
31-07-2024,Riyadh South,Riyadh,Large,Personal Care,8031.46,87,92.32,Mada,3.1
19-03-2026,Jubail,Eastern Province,Large,Fresh Produce,,108,106.55,Cash,3.6
12-04-2024,Al Aziziyah,Makkah,Large,Bakery,12658.26,167,75.8,,3.1
07-01-2026,Hittin,Riyadh,XLarge,Frozen Foods,,185,100.67,Apple Pay,3.6
01-01-2024,Arar Central,Northern Borders,Small,Meat & Poultry,2104.47,50,42.09,Visa,3.4
22-10-2025,Al Khobar,Eastern Province,Large,,8270.25,,91.89,Mada,4.2
12-11-2024,Al Jawf Central,Al Jawf,Small,Fresh Produce,2542.18,50,50.84,Mada,4.4
26-04-2025,Al Jawf Central,Al Jawf,Small,Fresh Produce,3976.19,,79.52,Mastercard,3.6
29-03-2025,Al Olaya,Riyadh,Large,Toys,21375.71,254,84.16,Mada,4.0
28-05-2025,Dhahran,Eastern Province,XLarge,Frozen Foods,13813.48,155,89.12,Mastercard,4.2
07-08-2025,Al Rawdah,Makkah,Large,Dairy,9430.24,103,91.56,Mada,
29-11-2024,Jeddah South,Makkah,Large,Baby Products,,199,99.38,Apple Pay,4.0
22-08-2024,Dammam Central,Eastern Province,Large,,11304.16,151,74.86,Mada,4.0
29-04-2026,Hafuf,Eastern Province,Medium,,6388.55,72,,Mada,4.1
06-01-2024,Tabuk Central,Tabuk,Medium,Meat & Poultry,9896.88,106,93.37,Mada,4.2
20-01-2024,Dammam Central,Eastern Province,Large,Bakery,13468.42,191,70.52,Mada,2.8
25-01-2024,Abha Central,Asir,Small,Snacks & Confectionery,1829.43,50,36.59,Visa,3.7
26-03-2025,Al Jawf Central,Al Jawf,Small,Fresh Produce,4015.45,50,80.31,Mada,3.9
08-01-2026,Najran Central,Najran,Medium,Baby Products,6118.53,68,89.98,Apple Pay,3.0
12-09-2024,Al Bahah Central,Al Bahah,,,2175.82,50,43.52,Cash,4.2
09-10-2024,Qatif,Eastern Province,XLarge,Beverages,16801.46,180,93.34,Mada,4.1
24-04-2026,Tabuk Central,Tabuk,Medium,Fresh Produce,6211.06,63,98.59,Mada,3.7
24-03-2025,Al Malaz,Riyadh,Large,,12691.95,147,86.34,Mada,3.5
23-05-2024,Riyadh North,Riyadh,Large,Electronics,16078.59,137,117.36,Mastercard,3.7
23-05-2026,Jubail,Eastern Province,Large,Frozen Foods,12491.22,155,,Mada,3.7
07-12-2024,Abha Central,Asir,Small,Baby Products,3735.99,50,74.72,Visa,3.9
23-05-2024,Riyadh North,Riyadh,Large,Meat & Poultry,9445.82,82,115.19,Mada,4.3
17-01-2025,Al Jawf Central,Al Jawf,Small,Beverages,1879.32,50,37.59,Visa,3.7
20-03-2026,Jubail,Eastern Province,Large,Dairy,11792.31,137,86.08,Cash,4.0
28-06-2025,Hittin,Riyadh,XLarge,Household,20339.66,231,88.05,Visa,4.1
16-09-2025,Arar Central,Northern Borders,Small,Fresh Produce,2339.24,50,46.78,Mastercard,3.8
28-10-2025,Jeddah North,Makkah,XLarge,Fresh Produce,15496.64,177,87.55,Mada,3.6
22-01-2024,Al Wajh,Tabuk,Medium,Dairy,3762.85,50,75.26,Mada,4.2
22-09-2024,Jeddah North,Makkah,XLarge,Personal Care,28988.44,337,86.02,Visa,4.0
27-02-2026,Al Aziziyah,Makkah,Large,Cleaning Supplies,11319.52,167,67.78,Mastercard,3.6
30-07-2024,Jeddah North,Makkah,XLarge,Fresh Produce,13402.09,150,89.35,STC Pay,3.9
09-03-2026,Riyadh East,Riyadh,Large,Meat & Poultry,9392.4,70,134.18,STC Pay,4.3
06-11-2024,Al Aziziyah,Makkah,Large,Baby Products,10184.78,86,118.43,STC Pay,3.5
28-01-2024,Hafuf,Eastern Province,Medium,Cleaning Supplies,4587.84,57,80.49,Apple Pay,3.5
24-01-2025,Al Rawdah,Makkah,Large,Beverages,8418.72,87,96.77,Apple Pay,4.1
05-04-2024,Hittin,Riyadh,XLarge,Household,51349.02,529,97.07,Visa,4.1
28-01-2026,Al Bahah Central,Al Bahah,Small,Frozen Foods,2172.26,50,43.45,Mada,3.8
29-03-2026,Al Malaz,Riyadh,Large,Beverages,13390.48,158,84.75,STC Pay,4.2
13-02-2025,Tabuk Central,Tabuk,Medium,Fresh Produce,5904.51,61,96.8,Mada,3.8
20-03-2025,Riyadh West,Riyadh,Large,Clothing,24650.21,191,129.06,Mastercard,3.4
17-01-2024,Najran Central,Najran,Medium,Dairy,5225.3,69,,Mada,3.2
17-05-2026,Jeddah North,Makkah,XLarge,Household,21065.04,179,117.68,Mada,3.8
02-09-2025,Riyadh South,Riyadh,Large,Snacks & Confectionery,10029.23,130,77.15,Mada,3.2
23-04-2026,Tabuk Central,Tabuk,,Fresh Produce,5150.2,67,76.87,Tabby,3.8
08-01-2025,Jeddah East,Makkah,Large,Fresh Produce,11073.68,106,104.47,Mada,3.1
17-02-2025,Dhahran,Eastern Province,XLarge,Cleaning Supplies,13054.86,151,86.46,Mada,4.1
05-02-2024,Najran Central,Najran,Medium,Fresh Produce,4768.1,51,93.49,Visa,3.4
22-06-2024,Buraidah Central,Qassim,Medium,Electronics,7932.2,70,113.32,Cash,4.0
20-04-2025,Najran Central,Najran,Medium,Snacks & Confectionery,9526.49,117,81.42,Cash,3.8
14-11-2024,Riyadh Central,Riyadh,Large,Cleaning Supplies,9622.99,111,86.69,Mada,2.8
04-05-2025,Al Olaya,Riyadh,Large,Snacks & Confectionery,11599.45,145,80.0,Cash,3.6
12-05-2024,Al Jawf Central,Al Jawf,Small,Fresh Produce,3400.04,50,68.0,Mastercard,3.5
12-09-2024,Al Olaya,Riyadh,Large,Fresh Produce,8722.37,103,84.68,Mada,
15-11-2025,Arar Central,Northern Borders,Small,Household,4256.73,50,85.13,Mada,3.9
08-11-2025,Abha Central,Asir,Small,Frozen Foods,2891.94,50,57.84,Mastercard,3.4
09-10-2025,Khamis Mushait,Asir,Small,Fresh Produce,1858.73,50,37.17,Cash,4.3
10-02-2025,Jeddah South,Makkah,,Personal Care,7863.13,82,95.89,Mada,4.0
07-04-2025,Bisha,Asir,Medium,Beverages,6741.71,71,94.95,Mada,3.8
11-12-2024,Al Jawf Central,Al Jawf,Small,Cleaning Supplies,2013.92,50,40.28,Apple Pay,3.0
01-03-2026,Al Bahah Central,Al Bahah,Small,Clothing,4233.88,50,84.68,Mada,3.5
12-03-2025,Abha Central,Asir,Small,Baby Products,4232.88,50,,Mada,3.6
29-04-2026,Arar Central,Northern Borders,Small,Household,2336.04,50,46.72,STC Pay,3.4
31-05-2025,Al Malaz,Riyadh,Large,Snacks & Confectionery,10434.22,146,71.47,Visa,4.2
10-05-2026,Jeddah North,Makkah,XLarge,Frozen Foods,23498.2,234,100.42,Mastercard,3.3
21-06-2025,Buraidah Central,Qassim,Medium,Household,5655.93,57,,Mastercard,3.7
19-06-2024,Buraidah Central,Qassim,Medium,Fresh Produce,,50,83.63,Visa,3.2
07-07-2025,Jeddah North,Makkah,XLarge,Personal Care,18843.0,226,83.38,Mada,3.5
30-10-2024,Bisha,Asir,Medium,Household,5468.01,52,105.15,Mada,3.5
01-01-2024,Dhahran,Eastern Province,XLarge,Toys,12138.66,136,,Mada,4.6
01-03-2024,Riyadh West,Riyadh,Large,Fresh Produce,14775.1,162,91.2,Mada,4.9
04-02-2025,Madinah North,Madinah,Large,Clothing,12564.95,104,120.82,,3.6
13-03-2024,Hafuf,Eastern Province,Medium,Baby Products,7548.91,61,123.75,Mada,3.7
29-07-2024,Jeddah North,Makkah,XLarge,Clothing,17875.56,171,,Cash,3.5
17-06-2025,Hittin,Riyadh,XLarge,Fresh Produce,13131.75,153,85.83,,3.8
08-07-2025,Hittin,Riyadh,XLarge,Beverages,15946.06,155,102.88,Tabby,3.7
05-10-2024,Qatif,Eastern Province,XLarge,Electronics,46887.61,409,114.64,Mada,3.7
27-12-2025,Jeddah South,Makkah,Large,Snacks & Confectionery,16787.35,225,74.61,Mada,3.5
31-03-2024,Al Olaya,Riyadh,Large,Personal Care,27393.08,299,91.62,Mada,4.2
07-03-2025,Al Wajh,Tabuk,Medium,Fresh Produce,7385.64,90,82.06,Apple Pay,3.4
14-09-2024,Dammam Central,Eastern Province,Large,Dairy,13887.04,185,75.07,Mada,3.8
05-09-2024,Al Bahah Central,Al Bahah,Small,Bakery,2037.14,50,40.74,Mada,3.7
28-07-2025,Al Bahah Central,Al Bahah,Small,Household,2259.78,50,45.2,STC Pay,3.5
27-08-2025,Al Olaya,Riyadh,Large,Clothing,13891.83,101,137.54,Cash,3.7
04-01-2025,Madinah North,Madinah,Large,Toys,15196.12,166,91.54,Apple Pay,3.8
22-05-2026,Hail Central,Hail,Small,Snacks & Confectionery,2397.08,50,,Mada,3.5
16-11-2025,Al Wajh,Tabuk,Medium,Bakery,7730.94,89,,Visa,3.6
01-04-2026,Tabuk Central,Tabuk,Medium,Beverages,4216.96,57,73.98,Mada,
26-12-2024,Hafuf,Eastern Province,Medium,Bakery,6319.69,82,77.07,Cash,2.6
26-02-2026,Al Anbariyah,Madinah,Large,Bakery,8876.52,131,67.76,Visa,4.1
28-01-2026,Jubail,Eastern Province,Large,Meat & Poultry,10651.3,109,97.72,Apple Pay,4.0
27-01-2026,Unaizah,Qassim,Small,Baby Products,2792.19,50,55.84,Mada,3.3
16-10-2025,Al Malaz,Riyadh,Large,Personal Care,10760.84,119,90.43,Apple Pay,4.0
25-12-2024,Al Bahah Central,Al Bahah,Small,Beverages,2194.33,50,,Mada,4.4
26-11-2024,Jeddah South,Makkah,Large,Fresh Produce,7712.04,79,97.62,Visa,3.6
01-07-2024,Unaizah,Qassim,Small,,1919.42,50,38.39,Cash,3.3
22-05-2026,Bisha,Asir,Medium,Toys,5572.48,59,94.45,Mada,4.0
20-09-2025,Al Khobar,Eastern Province,Large,Fresh Produce,,200,75.38,,3.7
08-09-2024,Riyadh East,Riyadh,Large,Clothing,17632.74,139,126.85,Mada,4.4
19-08-2024,Madinah North,Madinah,Large,Snacks & Confectionery,7664.79,80,,Mada,2.8
28-05-2026,Riyadh North,Riyadh,Large,Snacks & Confectionery,,110,85.3,Visa,3.4
17-08-2025,Buraidah Central,Qassim,Medium,Personal Care,6564.26,80,82.05,Mada,3.6
24-12-2025,Al Anbariyah,Madinah,Large,Meat & Poultry,15782.78,160,98.64,Mada,3.2
23-11-2024,Madinah North,Madinah,Large,Electronics,23585.63,195,120.95,Mada,4.5
25-03-2026,Madinah North,Madinah,Large,Fresh Produce,10379.45,137,75.76,,3.3
17-04-2024,Jubail,Eastern Province,Large,Personal Care,,163,87.68,Mastercard,3.8
21-04-2025,Madinah Central,Madinah,Small,Snacks & Confectionery,2002.95,50,40.06,Mada,3.5
23-01-2024,Jeddah South,Makkah,Large,Household,10318.81,84,122.84,Mada,3.7
06-03-2024,Jeddah North,Makkah,XLarge,Electronics,27643.8,231,119.67,Visa,4.6
17-03-2025,Al Bahah Central,Al Bahah,Small,Baby Products,4121.14,50,82.42,Mada,3.4
13-11-2024,Hail Central,Hail,Small,Clothing,3176.01,50,63.52,Visa,4.3
23-02-2026,Jeddah North,Makkah,XLarge,Toys,15215.05,148,102.8,Cash,3.3
30-12-2025,Riyadh South,Riyadh,Large,Personal Care,13066.54,152,85.96,Cash,4.2
20-01-2026,Jeddah South,Makkah,Large,Baby Products,8776.95,92,95.4,Tamara,4.0
31-01-2024,Jeddah East,Makkah,Large,Beverages,9387.45,93,100.94,Cash,4.3
04-04-2026,Khamis Mushait,Asir,Small,Toys,3997.98,50,79.96,Mada,3.4
14-11-2024,Al Olaya,Riyadh,Large,Toys,,132,82.95,Mada,4.0
25-12-2024,Madinah Central,Madinah,Small,,4101.12,50,82.02,Apple Pay,4.0
20-09-2024,Buraidah Central,Qassim,Medium,Personal Care,4989.8,62,80.48,Cash,3.6
13-01-2024,Buraidah Central,Qassim,,Meat & Poultry,6370.07,50,127.4,STC Pay,4.0
29-05-2026,Abha Central,Asir,Small,,2066.57,50,41.33,Mada,2.5
30-11-2025,Al Olaya,Riyadh,Large,Personal Care,19079.01,206,92.62,STC Pay,3.6
03-06-2025,Jeddah East,Makkah,Large,Snacks & Confectionery,6302.89,62,101.66,Cash,2.8
06-04-2026,Hittin,Riyadh,XLarge,Baby Products,,217,124.75,Mastercard,3.8
